#id1,id2,weight
Buckhurst:0,PPL,1
Brentford:0,PPL,1
Borehamwood:0,PPL,1
Blackfriars:5,PPL,1
Bickley:0,PPL,1
Bermondsey:0,PPL,1
Beckenham:0,PPL,1
Barnes:0,PPL,1
Barking:1,PPL,1
Balham:0,PPL,1
Camden:6,PPL,1
Royal:17,PPL,1
Merton:1,PPL,1
Redbridge:2,PPL,1
&:3,PPL,1
House:13,PPL,1
Blackheath:2,PPL,1
Marks:3,PPL,1
Oak:4,PPL,1
Farm:1,PPL,1
Manor:4,PPL,1
Russell:2,PPL,1
Riverside:2,PPL,1
Gate:4,PPL,1
Square:6,PPL,1
Grange:1,PPL,1
Marble:3,PPL,1
Arch:4,PPL,1
Farringdon:1,PPL,1
Knightsbridge:1,PPL,1
Colliers:1,PPL,1
Abbey:3,PPL,1
Bank:3,PPL,1
Paul's:4,PPL,1
Old:1,PPL,1
Hampton:0,PPL,1
Clerkenwell,PPL,1
Belsize:0,PPL,1
Primrose,PPL,1
Chalk:0,PPL,1
Tufnell:0,PPL,1
Kentish:0,PPL,1
Barnsbury:0,PPL,1
Shadwell:0,PPL,1
Mottingham:0,PPL,1
Nine:0,PPL,1
Elms:0,PPL,1
Tooting:4,PPL,1
Surbiton:0,PPL,1
Brixton:1,PPL,1
Elephant:0,PPL,1
Castle:0,PPL,1
Greenhill,PPL,1
Crystal:0,PPL,1
Muswell,PPL,1
Brockley:2,PPL,1
Broadway:5,PPL,1
Ladywell:2,PPL,1
Shortlands:2,PPL,1
Anerley:1,PPL,1
Aldgate:3,PPL,1
Crofton:3,PPL,1
Lee:2,PPL,1
Canning:2,PPL,1
Charlton:1,PPL,1
Earlsfield:1,PPL,1
Wick:1,PPL,1
Harringay:1,PPL,1
Mortlake:1,PPL,1
Norbiton:1,PPL,1
Sheen:1,PPL,1
Sisters:2,PPL,1
Barons:1,PPL,1
Burnt:1,PPL,1
Canons:1,PPL,1
Colindale:1,PPL,1
Gants:1,PPL,1
Golders:1,PPL,1
Leicester:2,PPL,1
Mansion:2,PPL,1
Bec:2,PPL,1
Monument:3,PPL,1
Billingsgate:1,PPL,1
Ludgate:1,PPL,1
Abridge,PPL,1
Arkley,PPL,1
Headstone,PPL,1
Furzedown,PPL,1
Aldersbrook,PPL,1
Waters,PPL,1
Thamesmead,PPL,1
Graveney,PPL,1
Summerstown,PPL,1
Area,PPL,1
Wimbledon:0,CMN,1
Common:0,CMN,1
Ham:7,CMN,1
Wandsworth:5,CMN,1
Mitcham:3,CMN,1
Tooting:3,CMN,1
Rush,CMN,1
Bec:1,CMN,1
Commons,CMN,1
Extension,CMN,1
Park:1,PPLX,1
Wood:1,PPLX,1
Green:2,PPLX,1
Woodford:1,PPLX,1
Hill:2,PPLX,1
Wimbledon:1,PPLX,1
Willesden:0,PPLX,1
Whitechapel:0,PPLX,1
West:1,PPLX,1
Norwood:1,PPLX,1
of:3,PPLX,1
Kensington:1,PPLX,1
Ham:2,PPLX,1
Dulwich:0,PPLX,1
Brompton:0,PPLX,1
Waterloo:4,PPLX,1
Walworth,PPLX,1
London:12,PPLX,1
Victoria:1,PPLX,1
Upton:2,PPLX,1
Upper:0,PPLX,1
Holloway:1,PPLX,1
Clapton:0,PPLX,1
Tottenham:1,PPLX,1
Heath:3,PPLX,1
The:8,PPLX,1
Lane:6,PPLX,1
Sydenham:1,PPLX,1
Grove:4,PPLX,1
Stoke:0,PPLX,1
Newington:0,PPLX,1
Spitalfields,PPLX,1
Southwark:0,PPLX,1
