#id1,id2,weight
Town:0,P,1
Town:0,Code,1
East:1,PPLA3,1
East:1,P,1
East:1,Code,1
Ealing:0,PPLA3,1
Ealing:0,P,1
Ealing:0,Code,1
Catford:0,PPLA3,1
Catford:0,P,1
Catford:0,Code,1
Bromley:0,PPLA3,1
Bromley:0,P,1
Bromley:0,Code,1
Bexleyheath:0,PPLA3,1
Bexleyheath:0,P,1
Bexleyheath:0,Code,1
Camden:1,PPLA3,1
Camden:1,P,1
Camden:1,Code,1
upon:1,PPLA3,1
upon:1,P,1
upon:1,Code,1
Camberwell,PPLA3,1
Camberwell,P,1
Camberwell,Code,1
Kingston:1,PPLA3,1
Kingston:1,P,1
Kingston:1,Code,1
Park:6,PPL,1
Park:6,P,1
Park:6,Code,1
Woolwich:1,PPL,1
Woolwich:1,P,1
Woolwich:1,Code,1
Wood:3,PPL,1
Wood:3,P,1
Wood:3,Code,1
Green:1,PPL,1
Green:1,P,1
Green:1,Code,1
Woodford:0,PPL,1
Woodford:0,P,1
Woodford:0,Code,1
Winchmore:0,PPL,1
Winchmore:0,P,1
Winchmore:0,Code,1
Hill:0,PPL,1
Hill:0,P,1
Hill:0,Code,1
Wimbledon:2,PPL,1
Wimbledon:2,P,1
Wimbledon:2,Code,1
Common:3,PPL,1
Common:3,P,1
Common:3,Code,1
Willesden:1,PPL,1
Willesden:1,P,1
Willesden:1,Code,1
Whetstone:0,PPL,1
Whetstone:0,P,1
Whetstone:0,Code,1
West:3,PPL,1
West:3,P,1
West:3,Code,1
Norwood:2,PPL,1
Norwood:2,P,1
Norwood:2,Code,1
of:16,PPL,1
of:16,P,1
of:16,Code,1
Westminster:8,PPL,1
Westminster:8,P,1
Westminster:8,Code,1
Ham:0,PPL,1
Ham:0,P,1
Ham:0,Code,1
Welling:0,PPL,1
Welling:0,P,1
Welling:0,Code,1
Wealdstone:0,PPL,1
Wealdstone:0,P,1
Wealdstone:0,Code,1
Wanstead:0,PPL,1
Wanstead:0,P,1
Wanstead:0,Code,1
London:27,PPL,1
London:27,P,1
London:27,Code,1
Victoria:6,PPL,1
Victoria:6,P,1
Victoria:6,Code,1
Upper:2,PPL,1
Upper:2,P,1
Upper:2,Code,1
Clapton:3,PPL,1
Clapton:3,P,1
Clapton:3,Code,1
Tower:8,PPL,1
Tower:8,P,1
Tower:8,Code,1
Hamlets:1,PPL,1
Hamlets:1,P,1
Hamlets:1,Code,1
Totteridge:0,PPL,1
Totteridge:0,P,1
Totteridge:0,Code,1
Tottenham:0,PPL,1
Tottenham:0,P,1
Tottenham:0,Code,1
Thornton:0,PPL,1
Thornton:0,P,1
Thornton:0,Code,1
Heath:0,PPL,1
Heath:0,P,1
Heath:0,Code,1
The:0,PPL,1
The:0,P,1
The:0,Code,1
Hyde:0,PPL,1
Hyde:0,P,1
Hyde:0,Code,1
Teddington:0,PPL,1
Teddington:0,P,1
Teddington:0,Code,1
Sudbury:0,PPL,1
Sudbury:0,P,1
Sudbury:0,Code,1
Streatham:0,PPL,1
Streatham:0,P,1
Streatham:0,Code,1
Strawberry:0,PPL,1
Strawberry:0,P,1
Strawberry:0,Code,1
Stratford:0,PPL,1
Stratford:0,P,1
Stratford:0,Code,1
Stepney:0,PPL,1
Stepney:0,P,1
Stepney:0,Code,1
Stanmore:0,PPL,1
Stanmore:0,P,1
Stanmore:0,Code,1
South:4,PPL,1
South:4,P,1
South:4,Code,1
Southgate:0,PPL,1
Southgate:0,P,1
Southgate:0,Code,1
Snaresbrook:0,PPL,1
Snaresbrook:0,P,1
Snaresbrook:0,Code,1
Sidcup:0,PPL,1
Sidcup:0,P,1
Sidcup:0,Code,1
Shoreditch:0,PPL,1
Shoreditch:0,P,1
Shoreditch:0,Code,1
Shepherds:0,PPL,1
Shepherds:0,P,1
Shepherds:0,Code,1
Bush:0,PPL,1
Bush:0,P,1
Bush:0,Code,1
Seven:3,PPL,1
Seven:3,P,1
Seven:3,Code,1
Kings:4,PPL,1
Kings:4,P,1
Kings:4,Code,1
St:14,PPL,1
St:14,P,1
St:14,Code,1
Richmond:1,PPL,1
Richmond:1,P,1
Richmond:1,Code,1
Puddle,PPL,1
Puddle,P,1
Puddle,Code,1
Dock:0,PPL,1
Dock:0,P,1
Dock:0,Code,1
Preston:0,PPL,1
Preston:0,P,1
Preston:0,Code,1
Ponders:0,PPL,1
Ponders:0,P,1
Ponders:0,Code,1
End:0,PPL,1
End:0,P,1
End:0,Code,1
Plumstead:0,PPL,1
Plumstead:0,P,1
Plumstead:0,Code,1
Perivale:0,PPL,1
Perivale:0,P,1
Perivale:0,Code,1
Palmers:0,PPL,1
Palmers:0,P,1
Palmers:0,Code,1
Paddington:0,PPL,1
Paddington:0,P,1
Paddington:0,Code,1
Notting:2,PPL,1
Notting:2,P,1
Notting:2,Code,1
North:0,PPL,1
North:0,P,1
North:0,Code,1
Acton:0,PPL,1
Acton:0,P,1
Acton:0,Code,1
New:0,PPL,1
New:0,P,1
New:0,Code,1
Malden:1,PPL,1
Malden:1,P,1
Malden:1,Code,1
Cross:6,PPL,1
Cross:6,P,1
Cross:6,Code,1
Barnet:0,PPL,1
Barnet:0,P,1
Barnet:0,Code,1
Molesey,PPL,1
Molesey,P,1
Molesey,Code,1
Mitcham:1,PPL,1
Mitcham:1,P,1
Mitcham:1,Code,1
Junction:1,PPL,1
Junction:1,P,1
Junction:1,Code,1
Mill:0,PPL,1
Mill:0,P,1
Mill:0,Code,1
Mayfair:0,PPL,1
Mayfair:0,P,1
Mayfair:0,Code,1
Lower:2,PPL,1
Lower:2,P,1
Lower:2,Code,1
Loughton:0,PPL,1
Loughton:0,P,1
Loughton:0,Code,1
Street:5,PPL,1
Street:5,P,1
Street:5,Code,1
Leyton:0,PPL,1
Leyton:0,P,1
Leyton:0,Code,1
King's:1,PPL,1
King's:1,P,1
King's:1,Code,1
Kingsbury:1,PPL,1
Kingsbury:1,P,1
Kingsbury:1,Code,1
Kidbrooke:0,PPL,1
Kidbrooke:0,P,1
Kidbrooke:0,Code,1
Kew:0,PPL,1
Kew:0,P,1
Kew:0,Code,1
Gardens:0,PPL,1
Gardens:0,P,1
Gardens:0,Code,1
Kenton:0,PPL,1
Kenton:0,P,1
Kenton:0,Code,1
Isleworth:0,PPL,1
Isleworth:0,P,1
Isleworth:0,Code,1
Hornsey:0,PPL,1
Hornsey:0,P,1
Hornsey:0,Code,1
Holborn:0,PPL,1
Holborn:0,P,1
Holborn:0,Code,1
Highgate:0,PPL,1
Highgate:0,P,1
Highgate:0,Code,1
Highbury:0,PPL,1
Highbury:0,P,1
Highbury:0,Code,1
Harrow:0,PPL,1
Harrow:0,P,1
Harrow:0,Code,1
Weald,PPL,1
Weald,P,1
Weald,Code,1
on,PPL,1
on,P,1
on,Code,1
the:0,PPL,1
the:0,P,1
the:0,Code,1
Harlesden:0,PPL,1
Harlesden:0,P,1
Harlesden:0,Code,1
Hanwell:0,PPL,1
Hanwell:0,P,1
Hanwell:0,Code,1
Hampstead:0,PPL,1
Hampstead:0,P,1
Hampstead:0,Code,1
Hadley:1,PPL,1
Hadley:1,P,1
Hadley:1,Code,1
Goodmayes:0,PPL,1
Goodmayes:0,P,1
Goodmayes:0,Code,1
Fulham:0,PPL,1
Fulham:0,P,1
Fulham:0,Code,1
Friern,PPL,1
Friern,P,1
Friern,Code,1
Foots,PPL,1
Foots,P,1
Foots,Code,1
Cray:0,PPL,1
Cray:0,P,1
Cray:0,Code,1
Finsbury:0,PPL,1
Finsbury:0,P,1
Finsbury:0,Code,1
Finchley:0,PPL,1
Finchley:0,P,1
Finchley:0,Code,1
Fenchurch:1,PPL,1
Fenchurch:1,P,1
Fenchurch:1,Code,1
Fairlop:3,PPL,1
Fairlop:3,P,1
Fairlop:3,Code,1
Euston:2,PPL,1
Euston:2,P,1
Euston:2,Code,1
Enfield:0,PPL,1
Enfield:0,P,1
Enfield:0,Code,1
Lock:0,PPL,1
Lock:0,P,1
Lock:0,Code,1
Town:1,PPL,1
Town:1,P,1
Town:1,Code,1
Eltham:0,PPL,1
Eltham:0,P,1
Eltham:0,Code,1
Elstree:0,PPL,1
Elstree:0,P,1
Elstree:0,Code,1
Elmers:0,PPL,1
Elmers:0,P,1
Elmers:0,Code,1
Edmonton:0,PPL,1
Edmonton:0,P,1
Edmonton:0,Code,1
Edgware:0,PPL,1
Edgware:0,P,1
Edgware:0,Code,1
East:0,PPL,1
East:0,P,1
East:0,Code,1
Court:4,PPL,1
Court:4,P,1
Court:4,Code,1
Ealing:6,PPL,1
Ealing:6,P,1
Ealing:6,Code,1
Dollis:0,PPL,1
Dollis:0,P,1
Dollis:0,Code,1
Deptford:0,PPL,1
Deptford:0,P,1
Deptford:0,Code,1
Cubitt,PPL,1
Cubitt,P,1
Cubitt,Code,1
Cricklewood:0,PPL,1
Cricklewood:0,P,1
Cricklewood:0,Code,1
Clapham:2,PPL,1
Clapham:2,P,1
Clapham:2,Code,1
Chislehurst:0,PPL,1
Chislehurst:0,P,1
Chislehurst:0,Code,1
Chingford:0,PPL,1
Chingford:0,P,1
Chingford:0,Code,1
Chigwell:0,PPL,1
Chigwell:0,P,1
Chigwell:0,Code,1
Cannon:4,PPL,1
Cannon:4,P,1
Cannon:4,Code,1
Caldecote,PPL,1
Caldecote,P,1
Caldecote,Code,1
Bushey:0,PPL,1
Bushey:0,P,1
Bushey:0,Code,1
Palace:4,PPL,1
Palace:4,P,1
Palace:4,Code,1
Buckhurst:0,PPL,1
Buckhurst:0,P,1
Buckhurst:0,Code,1
Brentford:0,PPL,1
Brentford:0,P,1
Brentford:0,Code,1
Borehamwood:0,PPL,1
Borehamwood:0,P,1
Borehamwood:0,Code,1
Blackfriars:5,PPL,1
Blackfriars:5,P,1
Blackfriars:5,Code,1
Bickley:0,PPL,1
Bickley:0,P,1
Bickley:0,Code,1
Bermondsey:0,PPL,1
Bermondsey:0,P,1
Bermondsey:0,Code,1
Beckenham:0,PPL,1
Beckenham:0,P,1
Beckenham:0,Code,1
Barnes:0,PPL,1
Barnes:0,P,1
Barnes:0,Code,1
Barking:1,PPL,1
Barking:1,P,1
Barking:1,Code,1
Balham:0,PPL,1
Balham:0,P,1
Balham:0,Code,1
Camden:6,PPL,1
Camden:6,P,1
Camden:6,Code,1
Royal:17,PPL,1
Royal:17,P,1
Royal:17,Code,1
Merton:1,PPL,1
Merton:1,P,1
Merton:1,Code,1
Redbridge:2,PPL,1
Redbridge:2,P,1
Redbridge:2,Code,1
&:3,PPL,1
&:3,P,1
&:3,Code,1
House:13,PPL,1
House:13,P,1
House:13,Code,1
Blackheath:2,PPL,1
Blackheath:2,P,1
Blackheath:2,Code,1
Marks:3,PPL,1
Marks:3,P,1
Marks:3,Code,1
Oak:4,PPL,1
Oak:4,P,1
Oak:4,Code,1
Farm:1,PPL,1
Farm:1,P,1
Farm:1,Code,1
Manor:4,PPL,1
Manor:4,P,1
Manor:4,Code,1
Russell:2,PPL,1
Russell:2,P,1
Russell:2,Code,1
Riverside:2,PPL,1
Riverside:2,P,1
Riverside:2,Code,1
Gate:4,PPL,1
Gate:4,P,1
Gate:4,Code,1
Square:6,PPL,1
Square:6,P,1
Square:6,Code,1
Grange:1,PPL,1
Grange:1,P,1
Grange:1,Code,1
Marble:3,PPL,1
Marble:3,P,1
Marble:3,Code,1
Arch:4,PPL,1
Arch:4,P,1
Arch:4,Code,1
Farringdon:1,PPL,1
Farringdon:1,P,1
Farringdon:1,Code,1
Knightsbridge:1,PPL,1
Knightsbridge:1,P,1
Knightsbridge:1,Code,1
Colliers:1,PPL,1
Colliers:1,P,1
Colliers:1,Code,1
Abbey:3,PPL,1
Abbey:3,P,1
Abbey:3,Code,1
Bank:3,PPL,1
Bank:3,P,1
Bank:3,Code,1
Paul's:4,PPL,1
Paul's:4,P,1
Paul's:4,Code,1
Old:1,PPL,1
Old:1,P,1
Old:1,Code,1
Hampton:0,PPL,1
Hampton:0,P,1
